repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type	URL	Single	num_of_versions
multipath	"draft-ietf-quic-multipath.md
draft-lmbdhk-quic-multipath.md"	{'draft-ietf-quic-multipath.md': 122, 'draft-lmbdhk-quic-multipath.md': 80}	{'md': 202}	202	2	md	"draft-ietf-quic-multipath: draft-ietf-quic-multipath
draft-lmbdhk-quic-multipath: draft-ietf-quic-multipath"	Y	1
quic-v2	"draft-ietf-quic-v2.md
draft-duke-quic-v2.md"	{'draft-ietf-quic-v2.md': 82, 'draft-duke-quic-v2.md': 2}	{'md': 84}	84	2	md	"draft-ietf-quic-v2: rfc9369
draft-duke-quic-v2: rfc9369"	Y	1
ack-frequency	"draft-ietf-quic-ack-frequency.md
draft-iyengar-quic-delayed-ack.md"	{'draft-ietf-quic-ack-frequency.md': 146, 'draft-iyengar-quic-delayed-ack.md': 40}	{'md': 186}	186	2	md	"draft-ietf-quic-ack-frequency: draft-ietf-quic-ack-frequency
draft-iyengar-quic-delayed-ack: draft-ietf-quic-ack-frequency"	Y	1
version-negotiation	draft-ietf-quic-version-negotiation.md	{'draft-ietf-quic-version-negotiation.md': 118}	{'md': 118}	118	1	md		Y	1
quic-bit-grease	draft-ietf-quic-bit-grease.md	{'draft-ietf-quic-bit-grease.md': 30}	{'md': 30}	30	1	md		Y	1
quicwg-base-drafts	"draft-ietf-quic-invariants.md
draft-ietf-quic-http.md
draft-ietf-quic-transport.md
draft-ietf-quic-recovery.md
draft-ietf-quic-tls.md
rfc9000.md
rfc9002.md
rfc9114.md
draft-ietf-quic-qpack.md
rfc9204.md
rfc8999.md
draft-ietf-quic-spin-exp.md
rfc9001.md"	{'draft-ietf-quic-invariants.md': 76, 'draft-ietf-quic-http.md': 476, 'draft-ietf-quic-transport.md': 1382, 'draft-ietf-quic-recovery.md': 610, 'draft-ietf-quic-tls.md': 400, 'rfc9000.md': 52, 'rfc9002.md': 52, 'rfc9114.md': 54, 'draft-ietf-quic-qpack.md': 228, 'rfc9204.md': 22, 'rfc8999.md': 22, 'draft-ietf-quic-spin-exp.md': 4, 'rfc9001.md': 26}	{'md': 3404}	3404	13	md	"draft-ietf-quic-invariants: rfc8999
draft-ietf-quic-http: rfc9114
draft-ietf-quic-transport: rfc9000
draft-ietf-quic-recovery: rfc9002
draft-ietf-quic-tls: rfc9001
rfc9000: rfc9000
rfc9002: rfc9002
rfc9114: rfc9114
draft-ietf-quic-qpack: rfc9204
rfc9204: rfc9204
rfc8999: rfc8999
draft-ietf-quic-spin-exp: draft-ietf-quic-spin-exp
rfc9001: rfc9001"	N	7
quicwg-datagram	draft-ietf-quic-datagram.md	{'draft-ietf-quic-datagram.md': 78}	{'md': 78}	78	1	md		Y	1
draft-ietf-sacm-coswid	draft-ietf-sacm-coswid.md	{'draft-ietf-sacm-coswid.md': 62}	{'md': 62}	62	1	md		Y	1
draft-ietf-sacm-terminology	draft-ietf-sacm-terminology.md	{'draft-ietf-sacm-terminology.md': 16}	{'md': 16}	16	1	md		Y	1
vulnerability-scenario	draft-ietf-sacm-vuln-scenario.xml	{'draft-ietf-sacm-vuln-scenario.xml': 4}	{'xml': 4}	4	1	xml		Y	1
draft-ietf-sacm-information-model	draft-ietf-sacm-information-model.xml	{'draft-ietf-sacm-information-model.xml': 4}	{'xml': 4}	4	1	xml		Y	1
draft-ietf-sacm-requirements	draft-ietf-sacm-requirements.xml	{'draft-ietf-sacm-requirements.xml': 10}	{'xml': 10}	10	1	xml		Y	1
draft-ietf-sacm-architecture	"draft-ietf-sacm-architecture.md
draft-ietf-sacm-architecture.xml"	{'draft-ietf-sacm-architecture.md': 2, 'draft-ietf-sacm-architecture.xml': 6}	{'md': 2, 'xml': 6}	8	2	xml		Y	1
draft-ietf-sedate-datetime-extended	draft-ietf-sedate-datetime-extended.md	{'draft-ietf-sedate-datetime-extended.md': 36}	{'md': 36}	36	1	md		Y	1
sframe	"draft-omara-sframe.md
draft-ietf-sframe-enc.md"	{'draft-omara-sframe.md': 58, 'draft-ietf-sframe-enc.md': 26}	{'md': 84}	84	2	md	"draft-omara-sframe: draft-ietf-sframe-enc
draft-ietf-sframe-enc: draft-ietf-sframe-enc"	Y	1
manifest-spec	"draft-ietf-suit-manifest.md
draft-ietf-suit-manifest-02.md
draft-ietf-suit-manifest-02.xml
draft-ietf-suit-manifest.xml
draft-ietf-suit-manifest-03.md"	{'draft-ietf-suit-manifest.md': 72, 'draft-ietf-suit-manifest-02.md': 6, 'draft-ietf-suit-manifest-02.xml': 2, 'draft-ietf-suit-manifest.xml': 8, 'draft-ietf-suit-manifest-03.md': 6}	{'md': 84, 'xml': 10}	94	5	md	"draft-ietf-suit-manifest: draft-ietf-suit-manifest
draft-ietf-suit-manifest-02: draft-ietf-suit-manifest
draft-ietf-suit-manifest-03: draft-ietf-suit-manifest"	Y	1
suit-firmware-encryption	"draft-ietf-suit-firmware-encryption.md
draft-ietf-suit-firmware-encryption.xml"	{'draft-ietf-suit-firmware-encryption.md': 22, 'draft-ietf-suit-firmware-encryption.xml': 6}	{'md': 22, 'xml': 6}	28	2	md		Y	1
information-model	"draft-ietf-suit-information-model.xml
draft-ietf-suit-information-model.md"	{'draft-ietf-suit-information-model.xml': 8, 'draft-ietf-suit-information-model.md': 30}	{'xml': 8, 'md': 30}	38	2	md		Y	1
suit-wg-architecture	"draft-ietf-suit-architecture.md
draft-ietf-suit-architecture.xml"	{'draft-ietf-suit-architecture.md': 32, 'draft-ietf-suit-architecture.xml': 4}	{'md': 32, 'xml': 4}	36	2	md		Y	1
draft-ietf-tls-ctls	"draft-rescorla-tls-ctls.md
draft-ietf-tls-ctls.md"	{'draft-rescorla-tls-ctls.md': 38, 'draft-ietf-tls-ctls.md': 68}	{'md': 106}	106	2	md	"draft-rescorla-tls-ctls: draft-ietf-tls-ctls
draft-ietf-tls-ctls: draft-ietf-tls-ctls"	Y	1
tls13-spec	"draft-ietf-tls-tls13.md
draft-ietf-tls-rfc8446bis.md"	{'draft-ietf-tls-tls13.md': 1266, 'draft-ietf-tls-rfc8446bis.md': 90}	{'md': 1356}	1356	2	md	"draft-ietf-tls-tls13: rfc8446
draft-ietf-tls-rfc8446bis: draft-ietf-tls-rfc8446bis"	N	2
dtls-rrc	draft-ietf-tls-dtls-rrc.md	{'draft-ietf-tls-dtls-rrc.md': 62}	{'md': 62}	62	1	md		Y	1
draft-ietf-tls-esni	"draft-ietf-tls-esni.md
draft-rescorla-tls-esni.md"	{'draft-ietf-tls-esni.md': 480, 'draft-rescorla-tls-esni.md': 76}	{'md': 556}	556	2	md	"draft-ietf-tls-esni: draft-ietf-tls-esni
draft-rescorla-tls-esni: draft-ietf-tls-esni"	Y	1
rfc8447bis	draft-ietf-tls-rfc8447bis.md	{'draft-ietf-tls-rfc8447bis.md': 46}	{'md': 46}	46	1	md		Y	1
tls-record-limit	"draft-ietf-tls-record-limit.md
draft-thomson-tls-record-limit.md"	{'draft-ietf-tls-record-limit.md': 24, 'draft-thomson-tls-record-limit.md': 2}	{'md': 26}	26	2	md	"draft-ietf-tls-record-limit: rfc8449
draft-thomson-tls-record-limit: rfc8449"	Y	1
draft-ietf-tls-iana-registry-updates	draft-ietf-tls-iana-registry-updates.md	{'draft-ietf-tls-iana-registry-updates.md': 98}	{'md': 98}	98	1	md		Y	1
dnssec-chain-extension	"draft-ietf-tls-dnssec-chain-extension-07.xml
draft-ietf-tls-dnssec-chain-extension-04.xml
draft-ietf-tls-dnssec-chain-extension-05.xml
draft-shore-tls-dnssec-chain-extension-02.xml
draft-ietf-tls-dnssec-chain-extension-08.xml"	{'draft-ietf-tls-dnssec-chain-extension-07.xml': 8, 'draft-ietf-tls-dnssec-chain-extension-04.xml': 8, 'draft-ietf-tls-dnssec-chain-extension-05.xml': 2, 'draft-shore-tls-dnssec-chain-extension-02.xml': 2, 'draft-ietf-tls-dnssec-chain-extension-08.xml': 2}	{'xml': 22}	22	5	xml	"draft-ietf-tls-dnssec-chain-extension-07: draft-ietf-tls-dnssec-chain-extension
draft-ietf-tls-dnssec-chain-extension-04: draft-ietf-tls-dnssec-chain-extension
draft-ietf-tls-dnssec-chain-extension-05: draft-ietf-tls-dnssec-chain-extension
draft-shore-tls-dnssec-chain-extension-02: draft-ietf-tls-dnssec-chain-extension
draft-ietf-tls-dnssec-chain-extension-08: draft-ietf-tls-dnssec-chain-extension"	Y	1
rfc4492bis	draft-ietf-tls-rfc4492bis.xml	{'draft-ietf-tls-rfc4492bis.xml': 58}	{'xml': 58}	58	1	xml		Y	1
draft-ietf-tls-tls13-vectors	draft-ietf-tls-tls13-vectors.md	{'draft-ietf-tls-tls13-vectors.md': 6}	{'md': 6}	6	1	md		Y	1
draft-ietf-tls-grease	draft-ietf-tls-grease-latest.xml	{'draft-ietf-tls-grease-latest.xml': 16}	{'xml': 16}	16	1	xml		Y	1
sniencryption	"draft-ietf-tls-sni-encryption.md
draft-huitema-tls-sni-encryption.md"	{'draft-ietf-tls-sni-encryption.md': 32, 'draft-huitema-tls-sni-encryption.md': 4}	{'md': 36}	36	2	md	"draft-ietf-tls-sni-encryption: rfc8744
draft-huitema-tls-sni-encryption: rfc8744"	Y	1
certificate-compression	draft-ietf-tls-certificate-compression.md	{'draft-ietf-tls-certificate-compression.md': 48}	{'md': 48}	48	1	md		Y	1
draft-ietf-tls-ticketrequest	"draft-ietf-tls-ticketrequests.md
draft-wood-tls-ticketrequest.md"	{'draft-ietf-tls-ticketrequests.md': 32, 'draft-wood-tls-ticketrequest.md': 2}	{'md': 34}	34	2	md	"draft-ietf-tls-ticketrequests: rfc9149
draft-wood-tls-ticketrequest: rfc9149"	Y	1
external-psk-design-team	"draft-ietf-tls-external-psk-guidance.md
draft-dt-tls-external-psk-guidance.md
draft-group-tls-external-psk-guidance.md"	{'draft-ietf-tls-external-psk-guidance.md': 64, 'draft-dt-tls-external-psk-guidance.md': 12, 'draft-group-tls-external-psk-guidance.md': 22}	{'md': 98}	98	3	md	"draft-ietf-tls-external-psk-guidance: rfc9257
draft-dt-tls-external-psk-guidance: rfc9257
draft-group-tls-external-psk-guidance: rfc9257"	Y	1
dtls-conn-id	draft-ietf-tls-dtls-connection-id.md	{'draft-ietf-tls-dtls-connection-id.md': 128}	{'md': 128}	128	1	md		Y	1
tls-exported-authenticator	draft-ietf-tls-exported-authenticator.md	{'draft-ietf-tls-exported-authenticator.md': 96}	{'md': 96}	96	1	md		Y	1
dtls13-spec	draft-ietf-tls-dtls13.md	{'draft-ietf-tls-dtls13.md': 310}	{'md': 310}	310	1	md		Y	1
draft-ietf-tls-external-psk-importer	"draft-ietf-tls-external-psk-importer.md
draft-wood-tls-external-psk-importer.md"	{'draft-ietf-tls-external-psk-importer.md': 38, 'draft-wood-tls-external-psk-importer.md': 4}	{'md': 42}	42	2	md	"draft-ietf-tls-external-psk-importer: rfc9258
draft-wood-tls-external-psk-importer: rfc9258"	Y	1
tls-flags	draft-ietf-tls-tlsflags.xml	{'draft-ietf-tls-tlsflags.xml': 26}	{'xml': 26}	26	1	xml		Y	1
draft-ietf-tls-md5-sha1-deprecate	"draft-ietf-tls-md5-sha1-deprecate-07.xml
draft-ietf-tls-md5-sha1-deprecate-00.xml
draft-ietf-tls-md5-sha1-deprecate-08.xml
draft-ietf-tls-md5-sha1-deprecate-02.xml"	{'draft-ietf-tls-md5-sha1-deprecate-07.xml': 10, 'draft-ietf-tls-md5-sha1-deprecate-00.xml': 8, 'draft-ietf-tls-md5-sha1-deprecate-08.xml': 10, 'draft-ietf-tls-md5-sha1-deprecate-02.xml': 10}	{'xml': 38}	38	4	xml	"draft-ietf-tls-md5-sha1-deprecate-07: rfc9155
draft-ietf-tls-md5-sha1-deprecate-00: rfc9155
draft-ietf-tls-md5-sha1-deprecate-08: rfc9155
draft-ietf-tls-md5-sha1-deprecate-02: rfc9155"	Y	1
tls-subcerts	"draft-ietf-tls-subcerts.md
draft-rescorla-tls-subcerts.md
draft-ietf-tls-subcerts-07.md"	{'draft-ietf-tls-subcerts.md': 128, 'draft-rescorla-tls-subcerts.md': 2, 'draft-ietf-tls-subcerts-07.md': 2}	{'md': 132}	132	3	md	"draft-ietf-tls-subcerts: draft-ietf-tls-subcerts
draft-rescorla-tls-subcerts: draft-ietf-tls-subcerts
draft-ietf-tls-subcerts-07: draft-ietf-tls-subcerts"	Y	1
snip	draft-ietf-tls-snip.md	{'draft-ietf-tls-snip.md': 6}	{'md': 6}	6	1	md		Y	1
api-drafts	"draft-ietf-taps-arch.md
draft-ietf-taps-interface.md
draft-ietf-taps-impl.md
draft-brunstrom-taps-impl.md
draft-trammell-taps-interface.md
draft-pauly-taps-arch.md"	{'draft-ietf-taps-arch.md': 210, 'draft-ietf-taps-interface.md': 588, 'draft-ietf-taps-impl.md': 224, 'draft-brunstrom-taps-impl.md': 22, 'draft-trammell-taps-interface.md': 60, 'draft-pauly-taps-arch.md': 18}	{'md': 1122}	1122	6	md	"5draft-ietf-taps-arch: draft-ietf-taps-arch
draft-ietf-taps-interface: draft-ietf-taps-interface
draft-ietf-taps-impl: draft-ietf-taps-impl
draft-brunstrom-taps-impl: draft-brunstrom-taps-impl
draft-trammell-taps-interface: draft-trammell-taps-interface
draft-pauly-taps-arch: draft-pauly-taps-arch"	N	6
draft-ietf-taps-transport-security	"draft-ietf-taps-transport-security.md
draft-pauly-taps-transport-security.md"	{'draft-ietf-taps-transport-security.md': 82, 'draft-pauly-taps-transport-security.md': 12}	{'md': 94}	94	2	md	"draft-ietf-taps-transport-security: rfc8922
draft-pauly-taps-transport-security: rfc8922"	Y	1
t2trg-rest-iot	"draft-keranen-t2trg-rest-iot.md
draft-irtf-t2trg-rest-iot.md"	{'draft-keranen-t2trg-rest-iot.md': 34, 'draft-irtf-t2trg-rest-iot.md': 42}	{'md': 76}	76	2	md	"draft-keranen-t2trg-rest-iot: draft-irtf-t2trg-rest-iot
draft-irtf-t2trg-rest-iot: draft-irtf-t2trg-rest-iot"	Y	1
t2trg-iot-edge-computing	"draft-hong-t2trg-iot-edge-computing.md
draft-irtf-t2trg-iot-edge.md"	{'draft-hong-t2trg-iot-edge-computing.md': 10, 'draft-irtf-t2trg-iot-edge.md': 6}	{'md': 16}	16	2	md	"draft-hong-t2trg-iot-edge-computing: draft-irtf-t2trg-iot-edge
draft-irtf-t2trg-iot-edge: draft-irtf-t2trg-iot-edge"	Y	1
webpush-vapid	"draft-ietf-webpush-vapid.md
draft-thomson-webpush-vapid.md"	{'draft-ietf-webpush-vapid.md': 38, 'draft-thomson-webpush-vapid.md': 22}	{'md': 60}	60	2	md	"draft-ietf-webpush-vapid: rfc8292
draft-thomson-webpush-vapid: draft-thomson-webpush-vapid"	N	2
webpush-encryption	draft-ietf-webpush-encryption.md	{'draft-ietf-webpush-encryption.md': 32}	{'md': 32}	32	1	md		Y	1
webpush-protocol	"draft-ietf-webpush-protocol.xml
draft-thomson-webpush-protocol.xml"	{'draft-ietf-webpush-protocol.xml': 126, 'draft-thomson-webpush-protocol.xml': 18}	{'xml': 144}	144	2	xml	"draft-ietf-webpush-protocol: rfc8030
draft-thomson-webpush-protocol: draft-thomson-webpush-protocol"	N	2
webrtc-http-ingest-protocol	"draft-ietf-wish-whip.md
draft-murillo-whip.md
draf-murillo-whip.md"	{'draft-ietf-wish-whip.md': 66, 'draft-murillo-whip.md': 2, 'draf-murillo-whip.md': 2}	{'md': 70}	70	3	md	"draft-ietf-wish-whip: draft-ietf-wish-whip
draft-murillo-whip: draft-ietf-wish-whip
draf-murillo-whip: draft-ietf-wish-whip"	Y	1
draft-ietf-webtrans-overview	draft-ietf-webtrans-overview.md	{'draft-ietf-webtrans-overview.md': 8}	{'md': 8}	8	1	md		Y	1
draft-ietf-webtrans-http3	"draft-ietf-webtrans-http3.md
draft-vvv-webtransport-quic.md
draft-vvv-webtransport-http3.md
draft-vvv-webtransport-overview.md"	{'draft-ietf-webtrans-http3.md': 66, 'draft-vvv-webtransport-quic.md': 10, 'draft-vvv-webtransport-http3.md': 6, 'draft-vvv-webtransport-overview.md': 4}	{'md': 86}	86	4	md	"3draft-ietf-webtrans-http3: draft-ietf-webtrans-http3
draft-vvv-webtransport-quic: draft-vvv-webtransport-quic
draft-vvv-webtransport-http3: draft-ietf-webtrans-http3
draft-vvv-webtransport-overview: draft-ietf-webtrans-overview"	N	3
draft-webtransport-http2	"draft-ietf-webtrans-http2.md
draft-kinnear-webtransport-http2.md
draft-webtransport-http2.md"	{'draft-ietf-webtrans-http2.md': 64, 'draft-kinnear-webtransport-http2.md': 8, 'draft-webtransport-http2.md': 4}	{'md': 76}	76	3	md	"draft-ietf-webtrans-http2: draft-ietf-webtrans-http2
draft-kinnear-webtransport-http2: draft-ietf-webtrans-http2
draft-webtransport-http2: draft-ietf-webtrans-http2"	Y	1
bundled-responses	draft-ietf-wpack-bundled-responses.md	{'draft-ietf-wpack-bundled-responses.md': 14}	{'md': 14}	14	1	md		Y	1
draft-ietf-add-ddr	draft-ietf-add-ddr.md	{'draft-ietf-add-ddr.md': 106}	{'md': 106}	106	1	md		Y	1
draft-ietf-emu-eap-tls13	draft-ietf-emu-eap-tls13.xml	{'draft-ietf-emu-eap-tls13.xml': 66}	{'xml': 66}	66	1	xml		Y	1
draft-irtf-nwcrg-coding-and-congestion-in-transport	"draft-irtf-nwcrg-coding-and-congestion-04.xml
draft-irtf-nwcrg-coding-and-congestion-07.xml
draft-irtf-nwcrg-coding-and-congestion-05.xml
draft-irtf-nwcrg-coding-and-congestion-08.xml
draft-irtf-nwcrg-coding-and-congestion-02.xml
draft-irtf-nwcrg-coding-and-congestion-03.xml
draft-irtf-nwcrg-coding-and-congestion-01.xml"	{'draft-irtf-nwcrg-coding-and-congestion-04.xml': 18, 'draft-irtf-nwcrg-coding-and-congestion-07.xml': 8, 'draft-irtf-nwcrg-coding-and-congestion-05.xml': 4, 'draft-irtf-nwcrg-coding-and-congestion-08.xml': 6, 'draft-irtf-nwcrg-coding-and-congestion-02.xml': 6, 'draft-irtf-nwcrg-coding-and-congestion-03.xml': 2, 'draft-irtf-nwcrg-coding-and-congestion-01.xml': 6}	{'xml': 50}	50	7	xml	"draft-irtf-nwcrg-coding-and-congestion-04: rfc9265
draft-irtf-nwcrg-coding-and-congestion-07: rfc9265
draft-irtf-nwcrg-coding-and-congestion-05: rfc9265
draft-irtf-nwcrg-coding-and-congestion-08: rfc9265
draft-irtf-nwcrg-coding-and-congestion-02: rfc9265
draft-irtf-nwcrg-coding-and-congestion-03: rfc9265
draft-irtf-nwcrg-coding-and-congestion-01: rfc9265"	Y	1
CBOR-certificates	"draft-mattsson-cose-cbor-cert-compress.md
draft-raza-ace-cbor-certificates.md"	{'draft-mattsson-cose-cbor-cert-compress.md': 8, 'draft-raza-ace-cbor-certificates.md': 10}	{'md': 18}	18	2	md	"draft-mattsson-cose-cbor-cert-compress: draft-ietf-cose-cbor-encoded-cert
draft-raza-ace-cbor-certificates: draft-ietf-cose-cbor-encoded-cert"	Y	1